ticker,group
2330.TW,半導體
2454.TW,半導體
2303.TW,半導體
2408.TW,半導體
6239.TW,半導體
6488.TW,半導體
3035.TW,半導體
3105.TW,半導體
2376.TW,AI伺服器
6669.TW,AI伺服器
2317.TW,AI伺服器
2308.TW,AI伺服器
3324.TW,AI伺服器
3324.TW,散熱
2383.TW,PCB
3037.TW,PCB
2313.TW,PCB
8046.TW,PCB
4958.TW,PCB
3189.TW,PCB
6274.TW,PCB
3163.TW,CPO
4908.TW,CPO
4908.TW,光通訊
3163.TW,光通訊
2618.TW,航運
2609.TW,航運
0056.TW,高股息ETF
00878.TW,高股息ETF
1303.TW,塑化
1409.TW,紡織
1802.TW,玻璃
1802.TW,資產
2027.TW,鋼鐵
3211.TW,電池
3211.TW,電子零組件
3673.TW,面板觸控
3481.TW,面板
2409.TW,面板
4966.TW,IC設計
2454.TW,IC設計
3035.TW,IC設計
7769.TW,半導體設備
2327.TW,被動元件
5289.TW,記憶體模組
8358.TW,銅箔基板
6285.TW,網通
6116.TW,面板
4960.TW,面板
3711.TW,封測
9105.TW,電子代工
2344.TW,半導體
2344.TW,記憶體
2338.TW,半導體
2338.TW,光罩
2374.TW,光學
2312.TW,電子代工
00403A.TW,ETF
4931.TW,電池
4931.TW,電子零組件
2485.TW,網通
2002.TW,鋼鐵
5439.TW,PCB
6213.TW,PCB
6213.TW,銅箔基板
2603.TW,航運
2707.TW,觀光
2748.TW,觀光
3017.TW,AI伺服器
3017.TW,散熱
2382.TW,AI伺服器
2382.TW,電子代工
3231.TW,AI伺服器
3231.TW,電子代工
3081.TW,CPO
3081.TW,光通訊
2345.TW,網通
2337.TW,半導體
2337.TW,記憶體
2329.TW,封測
2331.TW,電子代工
2498.TW,手機
2498.TW,VR
8215.TW,面板
8215.TW,電子材料
2401.TW,IC設計
3062.TW,網通
8028.TW,半導體
8150.TW,封測
2356.TW,AI伺服器
2324.TW,AI伺服器
2353.TW,電腦品牌
3013.TW,AI伺服器
6230.TW,散熱
6275.TW,散熱
2421.TW,散熱
2368.TW,PCB
5469.TW,PCB
6269.TW,PCB
6191.TW,PCB
6214.TW,資訊服務
8039.TW,PCB材料
3363.TWO,CPO
4903.TW,CPO
4979.TWO,CPO
6426.TWO,CPO
3260.TWO,記憶體
2451.TW,記憶體
4967.TWO,記憶體
8299.TWO,記憶體
2605.TW,航運
2606.TW,航運
2607.TW,航運
2610.TW,航空
2731.TW,觀光
5706.TWO,觀光
2881.TW,金融
2882.TW,金融
2886.TW,金融
2891.TW,金融
2892.TW,金融
1714.TW,化工
5530.TW,殯葬
1718.TW,紡織
2880.TW,金融
2883.TW,金融
2884.TW,金融
2885.TW,金融
2887.TW,金融
5880.TW,金融
5871.TW,金融
3008.TW,光學
2357.TW,電腦品牌
2395.TW,工業電腦
2912.TW,消費
1216.TW,食品
1101.TW,水泥
1102.TW,水泥
1301.TW,塑化
1304.TW,塑化
1326.TW,塑化
1605.TW,電線電纜
1504.TW,機電
2207.TW,汽車
2301.TW,電子零組件
2323.TW,光碟
2352.TW,電子
2360.TW,測試設備
2377.TW,電腦品牌
2385.TW,電子零組件
2393.TW,LED
2412.TW,電信
3045.TW,電信
4904.TW,電信
2458.TW,IC設計
3034.TW,IC設計
3529.TW,IC設計
3533.TW,連接器
3661.TW,IC設計
5269.TW,IC設計
6147.TW,封測
6485.TW,記憶體
6531.TW,記憶體
6643.TW,IC設計
6770.TW,半導體
6757.TW,航空
1476.TW,紡織
9910.TW,消費
